"sigla","fonte","camada","id_na_fonte","nome_na_fonte","status","professor","observacao"
"TECINF","Tutory","plataforma","","ANÁLISE DE DADOS - REVISÃO TEÓRICA","ok","",""
"","Tutory","plataforma","","Atos Administrativos - Simulado (Passo Estratégico)","lixo_migracao","",""
"","Tutory","plataforma","","Atos Administrativos (Passo Estratégico)","lixo_migracao","",""
"AUDIT","Tutory","plataforma","","AUDITORIA","ok","",""
"AUDIT","Tutory","plataforma","","Auditoria - Área Fiscal","ok","",""
"AUDIT","Tutory","plataforma","","AUDITORIA - REVISÃO TEÓRICA","ok","",""
"AUDIT","Tutory","plataforma","","Auditoria (Fiscal/ Controle)","ok","",""
"AUDIT","Tutory","plataforma","","AUDITORIA FISCAL DO ICMS E ISS","ok","",""
"AUDIT","Tutory","plataforma","","AUDITORIA FISCAL DO ICMS E ISS - REVISÃO TEÓRICA","ok","",""
"AUDIT","Tutory","plataforma","","AUDITORIA GOVERNAMENTAL","ok","",""
"AUDIT","Tutory","plataforma","","AUDITORIA GOVERNAMENTAL - REVISÃO TEÓRICA","ok","",""
"CONTAB","Tutory","plataforma","","CONTABILIDADE AVANÇADA","ok","",""
"CONTAB","Tutory","plataforma","","CONTABILIDADE AVANÇADA - REVISÃO TEÓRICA","ok","",""
"CUSTOS","Tutory","plataforma","","CONTABILIDADE DE CUSTOS","ok","",""
"CUSTOS","Tutory","plataforma","","CONTABILIDADE DE CUSTOS - REVISÃO TEÓRICA","ok","",""
"CUSTOS","Tutory","plataforma","","Contabilidade de Custos (Fiscal/ Controle)","ok","",""
"CONTPU","Tutory","plataforma","","CONTABILIDADE DO SETOR PÚBLICO - REVISÃO TEÓRICA","ok","",""
"CONTAB","Tutory","plataforma","","CONTABILIDADE GERAL","ok","",""
"CONTAB","Tutory","plataforma","","Contabilidade Geral - Área Fiscal","ok","",""
"CONTAB","Tutory","plataforma","","CONTABILIDADE GERAL - REVISÃO TEÓRICA","ok","",""
"CONTAB","Tutory","plataforma","","Contabilidade Geral e Avançada (Fiscal/ Controle)","ok","",""
"CONTAB","Tutory","plataforma","","CONTABILIDADE GERAL E PÚBLICA","ok","","nome junta duas disciplinas nossas"
"CONTPU","Tutory","plataforma","","CONTABILIDADE GERAL E PÚBLICA","ok","","nome junta duas disciplinas nossas"
"CONTPU","Tutory","plataforma","","CONTABILIDADE PÚBLICA","ok","",""
"CONTPU","Tutory","plataforma","","CONTABILIDADE PÚBLICA - REVISÃO TEÓRICA","ok","",""
"CONTPU","Tutory","plataforma","","Contabilidade Pública (Fiscal/ Controle)","ok","",""
"","Tutory","plataforma","","Control. 1","lixo_migracao","",""
"","Tutory","plataforma","","Control. 3","lixo_migracao","",""
"CTREXT","Tutory","plataforma","","CONTROLE EXTERNO","ok","",""
"CTREXT","Tutory","plataforma","","CONTROLE EXTERNO - REVISÃO TEÓRICA","ok","",""
"CTREXT","Tutory","plataforma","","Controle Externo (Controle)","ok","",""
"","Tutory","plataforma","","Dir. Adm 1","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Adm 2","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Adm 3","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Adm 4","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Adm 5","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Cont 1","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Cont 2","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Cont 3","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Cont 4","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Cont 5","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Trib 1","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Trib 2","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Trib 3","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Trib 4","lixo_migracao","",""
"","Tutory","plataforma","","Dir. Trib 5","lixo_migracao","",""
"DADM","Tutory","plataforma","","Direito Administrativo","ok","",""
"DADM","Tutory","plataforma","","Direito Administrativo - Área Fiscal","ok","",""
"DADM","Tutory","plataforma","","Direito Administrativo - Auditor Fiscal/Controle","ok","",""
"DADM","Tutory","plataforma","","DIREITO ADMINISTRATIVO - REVISÃO TEÓRICA","ok","",""
"DADM","Tutory","plataforma","","Direito Administrativo (Fiscal/ Controle)","ok","",""
"DADM","Tutory","plataforma","","Direito Administrativo (Fiscal/Controle)","ok","",""
"DCIVIL","Tutory","plataforma","","DIREITO CIVIL","ok","",""
"DCIVIL","Tutory","plataforma","","Direito Civil - Área Fiscal","ok","",""
"DCIVIL","Tutory","plataforma","","DIREITO CIVIL - REVISÃO TEÓRICA","ok","",""
