"materia_id","materia_nome","sigla","assunto_id","hierarquia","nivel","nome"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11801","03.09.05","3","Do Fato Gerador (art. 6º do RITCD-AL)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12233","27.02.04","3","Do Fato Gerador (art. 8º da Lei Estadual nº 3.796/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11972","09.03.01.01","4","Do Fato Gerador (arts. 1º a 3º da Lei Estadual nº 7.000/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","2258","27.07.02","3","Do Fato Gerador (arts. 2º a 4º da Lei Estadual nº 7.655/2013)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14174","14.07.02","3","Do Fato Gerador (arts. 3º a 3º-B do RIPVA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11860","06.04.01","3","Do Fato Gerador da Obrigação Tributária Principal (arts. 1º a 23-C da Lei Estadual nº 7.014/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12115","24.06.03.02","4","Do Formulário de Segurança e da Emissão Simultânea de Docs. Fiscais (arts. 321 a 335 do RICMS-RR)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14568","17.03.01","3","Do Fundo Estadual de Combate à Pobreza do Paraná (arts. 1º a 6º da Lei Estadual nº 18.573/2015)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17253","10.12.01.02","4","Do ICMS (arts. 11  a 71 da Lei Estadual nº 11.651/1991)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12137","24.02.03","3","Do ICMS (arts. 4º a 72 da Lei Estadual nº 59/1993)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12318","04.01.02.01","4","Do ICMS (arts. 6º a 71 da Lei Estadual nº 400/1997)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11722","16.02.01.01","4","Do Imposto (arts. 1º a 10 da Lei nº 6.379/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17173","19.03.01","3","Do Imposto (arts. 1º a 11 da Lei Estadual nº 4.257/1989)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11831","05.08.01","3","Do Imposto (arts. 1º a 11 do RIPVA-AM)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12225","27.30.01","3","Do Imposto (arts. 1º a 141 do RICMS-SE)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12094","24.06.01.01","4","Do Imposto (arts. 1º a 16 do RICMS-RR)"
